Function Number,Run Number,Error,Time
12,21,54.73521432635246,30.541012287139893
12,22,68.66442863342823,31.536680698394775
12,23,71.74670841334867,30.027125358581543
12,24,85.84058244161025,29.871821403503418
12,25,58.72378864036952,30.877535581588745
12,26,41.803037454068146,30.597509384155273
12,27,60.691824621460995,31.70826554298401
12,28,74.70758748157192,30.411656379699707
12,29,47.791916747973744,30.4735369682312
12,30,72.75477928595365,28.540305376052856
13,1,123.47596234409176,37.294010162353516
13,2,142.08739392246304,37.3079833984375
13,3,86.44765860616312,38.87816500663757
13,4,149.4092379847874,36.814603090286255
13,5,154.11565955856642,38.640180349349976
13,6,163.70640626843795,38.05836606025696
13,7,140.05564428302847,37.12037229537964
13,8,142.98495990727855,37.876805782318115
13,9,109.31715872669622,38.88761854171753
13,10,159.0046124760925,37.56615352630615
13,11,135.06469628943114,38.95722222328186
13,12,142.89000610897668,37.963483572006226
13,13,145.1199334976523,37.542399644851685
13,14,136.8899220654721,37.78427481651306
13,15,119.55837161009798,38.36779522895813
13,16,112.49004549946376,37.96357202529907
13,17,106.91714562592645,37.500314474105835
13,18,132.36241049869903,36.55134105682373
13,19,121.62275436470097,40.16252136230469
13,20,150.20046372284628,38.92443561553955
13,21,115.98653653103555,37.62416052818298
13,22,144.10784842244254,38.30911469459534
13,23,96.69259923135502,37.4951171875
13,24,140.2950659943657,39.70230317115784
13,25,156.7745417741707,38.01832056045532
13,26,117.06142347574,39.0229070186615
13,27,179.14748112330534,37.3700909614563
13,28,143.67270719074585,38.19969868659973
13,29,125.26242041067557,37.54187536239624
13,30,103.00595853220187,39.00977396965027
14,1,1848.8605923031773,33.9711172580719
14,2,2612.204864898891,34.33649778366089
14,3,2146.586088484286,34.06131553649902
14,4,2192.644587585173,34.33664655685425
14,5,1908.7007837917226,34.296735525131226
14,6,2304.036166015243,33.88493227958679
14,7,2051.334245022126,33.85508871078491
14,8,2626.714509128755,33.7273485660553
14,9,2516.8895650494596,34.25446939468384
14,10,2671.880567837032,34.12858009338379
14,11,2389.932480464213,33.93478727340698
14,12,2970.762760952408,35.53307914733887
14,13,2978.333530216256,34.52279996871948
14,14,2545.3999165346722,35.39047837257385
14,15,2696.6241281462408,33.69399070739746
14,16,2741.5024163737526,34.19696927070618
14,17,2591.573354498021,36.347877979278564
14,18,2453.889393200161,33.72166442871094
14,19,1961.9944952951791,34.29456329345703
14,20,2654.346705461652,33.81113791465759
14,21,1892.6859987651223,35.22029447555542
14,22,2203.088800553218,33.88248133659363
14,23,2463.608712064284,34.101202964782715
14,24,3083.721268262674,33.740217447280884
14,25,1773.9914299926768,34.86745309829712
14,26,2086.0412842281403,34.21980905532837
14,27,2875.52863219358,35.14027285575867
14,28,2453.0149476607294,33.885324001312256
14,29,2967.0596411143324,35.32872152328491
14,30,3188.826889161124,33.82443594932556
15,1,3929.2565226520273,39.982322692871094
15,2,3256.9102153094846,35.9818971157074
15,3,3291.0067589430055,35.992496490478516
15,4,4637.525622548003,40.076833724975586
15,5,3595.1265970248205,36.10025668144226
15,6,2943.5549519745855,36.194095611572266
15,7,3944.1142521966267,36.30424737930298
15,8,3602.003923277809,36.724262714385986
15,9,3793.370430474859,35.87950682640076
15,10,3464.1849152460327,35.89322304725647
15,11,4336.042630947422,36.40856742858887
15,12,4758.265170225646,35.941548347473145
15,13,3227.4720526232522,35.986473083496094
15,14,4069.221001129894,36.34457468986511
15,15,3975.830299476762,36.78504395484924
15,16,3708.706703913038,36.47218132019043
15,17,4347.648182003839,35.91461896896362
15,18,3582.8337271438686,38.92532563209534
15,19,4050.393160650021,35.85849213600159
15,20,2445.2460251625616,36.04750633239746
15,21,4148.739481555425,36.01798987388611
15,22,4943.284939217082,36.39223003387451
15,23,3251.729430148136,36.860106229782104
15,24,3755.7019152632,35.95048260688782
15,25,3504.805904028317,36.71280550956726
15,26,4252.870803291127,36.28070592880249
15,27,4234.46474019032,36.4700083732605
15,28,3538.1402651026183,36.13736629486084
15,29,3949.1152081011314,35.94971966743469
15,30,3320.374033637534,36.66583871841431
16,1,1.6336323441986451,183.7871961593628
16,2,1.7019577965908752,173.52840280532837
16,3,1.4413978732849557,173.29648852348328
16,4,1.383380024480232,173.69013285636902
16,5,1.9550015439851904,171.36771965026855
16,6,1.5721807817586466,173.76029896736145
16,7,2.6438050934004025,190.6996364593506
16,8,2.447702465573144,171.88767957687378
16,9,1.6373228611102775,174.05094075202942
16,10,1.95764316328777,172.8715214729309
16,11,0.8656239891674886,176.1268675327301
16,12,1.635906876552184,172.37293815612793
16,13,1.6746207829021955,172.7333059310913
16,14,1.5284868883443608,173.16929173469543
16,15,1.4640811130686302,175.8982412815094
16,16,2.502807558258496,172.59640550613403
16,17,1.4134208345987247,173.6485779285431
16,18,1.5988987190877424,172.6680872440338
16,19,1.448123072592665,172.15686440467834
16,20,1.2123194408479208,170.18814206123352
16,21,1.5759404677643545,192.12085914611816
16,22,1.3392052049901224,178.25696277618408
16,23,2.1228130022304867,173.49963116645813
16,24,2.5383418322360853,171.27876901626587
16,25,1.659866381814254,173.2114601135254
16,26,2.150537682444849,174.49296855926514
16,27,2.3640722783153763,173.43544626235962
16,28,1.4253494354084637,171.98838925361633
16,29,2.2010785940920528,173.08526229858398
16,30,0.9223421974315329,175.75210428237915
17,1,89.72565636549393,46.28610396385193
17,2,107.17448715841334,43.91489815711975
17,3,91.55549717061848,46.653504610061646
17,4,103.56632099184174,44.50102400779724
17,5,95.76946750711033,44.03653836250305
17,6,96.73627053655025,44.33178091049194
17,7,104.4718229692894,43.94914770126343
17,8,111.79278940738652,44.01516246795654
17,9,86.20332533827144,44.131078243255615
17,10,101.11017740940639,44.01035928726196
17,11,118.04539403738579,44.822627782821655
17,12,88.46132261064639,46.028400897979736
17,13,82.46526794441638,44.08726668357849
17,14,91.69379489674566,44.14441514015198
17,15,81.98809275017584,226.83999752998352
17,16,99.54250122171806,142.92746782302856
17,17,101.45061125179552,44.01294136047363
17,18,71.31179237709148,100.30306363105774
17,19,95.44537587730696,85.57186388969421
17,20,93.94986936140629,47.611836194992065
17,21,103.84029562049932,45.649442195892334
17,22,99.37130180123506,46.959455728530884
17,23,98.58739534597885,84.66418147087097
17,24,126.26458817417097,46.709028482437134
17,25,60.74339632247336,46.73286724090576
17,26,78.60033130471913,44.25375247001648
17,27,89.50609227936008,43.969966888427734
17,28,111.47326431630995,43.92851495742798
17,29,81.74565456921039,43.790048122406006
17,30,94.65109251285025,44.00491642951965
18,1,110.71000586749619,47.779332399368286
18,2,129.40250239257307,47.38129448890686
18,3,74.23249346470487,47.91313672065735
18,4,145.33584994564944,47.2073540687561
18,5,146.0488252640746,47.7319016456604
18,6,193.17811678563658,47.37433481216431
18,7,151.10725438130248,47.150914669036865
18,8,154.22456249877837,47.25981879234314
18,9,161.35538369275355,47.428707122802734
18,10,106.5487459627924,47.12958598136902
18,11,196.0916463493752,47.34549021720886
18,12,108.64827637138808,48.253031969070435
18,13,152.097349362444,47.537230491638184
18,14,130.8372585945874,47.267083406448364
18,15,112.50629524724354,48.756582498550415
18,16,156.893082394928,47.51032876968384
18,17,131.61658065274787,47.28478980064392
18,18,107.24969987582216,48.909483194351196
18,19,127.4077802534224,47.308464765548706
18,20,123.84863980035266,47.13009691238403
18,21,130.96828507841462,47.80559754371643
18,22,135.6927318155283,47.98093247413635
18,23,158.58316328784122,47.23364067077637
18,24,120.62445323913425,49.30682396888733
18,25,146.93183914279177,47.09152412414551
18,26,129.19373556206938,47.82176876068115
