Step #238 Reward:-59.69745395266787 Current Epsilon: 0.39584006457724336
Step #239 Reward:-59.69755720966313 Current Epsilon: 0.394315159226857
Step #240 Reward:-50.74306011199951 Current Epsilon: 0.3927962805609473
Step #241 Reward:-44.85789155960083 Current Epsilon: 0.3912834047610354
Step #242 Reward:-55.44534373283386 Current Epsilon: 0.3897765081027771
Step #243 Reward:-58.70251145855582 Current Epsilon: 0.38827556695559085
Step #244 Reward:-54.72268222928193 Current Epsilon: 0.38678055778228737
Step #245 Reward:-48.75426582992077 Current Epsilon: 0.3852914571387
Step #246 Reward:-64.34655219734768 Current Epsilon: 0.3838082416733177
Step #247 Reward:-49.08875217940658 Current Epsilon: 0.38233088812691834
Step #248 Reward:-64.67221589309347 Current Epsilon: 0.38085937333220427
Step #249 Reward:-56.71258806076577 Current Epsilon: 0.379393674213439
Step #250 Reward:-62.737656593322754 Current Epsilon: 0.3779337677860852
Step #251 Reward:-52.73294387257192 Current Epsilon: 0.3764796311564442
Step #252 Reward:-69.82412185586873 Current Epsilon: 0.3750312415212974
Step #253 Reward:-73.62678526530584 Current Epsilon: 0.3735885761675481
Step #254 Reward:-43.810292299325624 Current Epsilon: 0.3721516124718657
Step #255 Reward:-50.7428482770913 Current Epsilon: 0.37072032790033094
Step #256 Reward:-47.7580524161458 Current Epsilon: 0.36929470000808234
Step #257 Reward:-64.45196574181318 Current Epsilon: 0.36787470643896425
Step #258 Reward:-44.77313073776895 Current Epsilon: 0.36646032492517655
Step #259 Reward:-83.57633476556299 Current Epsilon: 0.365051533286925
Step #260 Reward:-67.65705317548117 Current Epsilon: 0.3636483094320738
Step #261 Reward:-46.763001220537745 Current Epsilon: 0.36225063135579916
Step #262 Reward:-50.74284548813233 Current Epsilon: 0.36085847714024366
Step #263 Reward:-51.73780505327045 Current Epsilon: 0.3594718249541732
Step #264 Reward:-59.704535957206616 Current Epsilon: 0.3580906530526347
Step #265 Reward:-70.64197824760734 Current Epsilon: 0.3567149397766144
Step #266 Reward:-63.506651090242286 Current Epsilon: 0.3553446635526989
Step #267 Reward:-39.79831561204645 Current Epsilon: 0.3539798028927364
Step #268 Reward:-59.697487115859985 Current Epsilon: 0.3526203363935
Step #269 Reward:-53.95541921514484 Current Epsilon: 0.351266242736352
Step #270 Reward:-54.052526047506035 Current Epsilon: 0.3499175006869096
Step #271 Reward:-34.82353199900541 Current Epsilon: 0.34857408909471177
Step #272 Reward:-35.81848117886244 Current Epsilon: 0.34723598689288787
Step #273 Reward:-57.735878784740635 Current Epsilon: 0.34590317309782687
Step #274 Reward:-47.279503466159156 Current Epsilon: 0.34457562680884873
Step #275 Reward:-39.996846206486225 Current Epsilon: 0.3432533272078763
Step #276 Reward:-61.990804460812626 Current Epsilon: 0.341936253559109
Step #277 Reward:-56.90653797984123 Current Epsilon: 0.34062438520869787
Step #278 Reward:-79.59772926568985 Current Epsilon: 0.3393177015844212
Step #279 Reward:-75.61672930011355 Current Epsilon: 0.33801618219536234
Step #280 Reward:-52.796143145612774 Current Epsilon: 0.3367198066315881
Step #281 Reward:-57.70744912925662 Current Epsilon: 0.3354285545638289
Step #282 Reward:-47.94793114740975 Current Epsilon: 0.3341424057431599
Step #283 Reward:-49.88010616530664 Current Epsilon: 0.3328613400006834
Step #284 Reward:-119.29631800266705 Current Epsilon: 0.3315853372472125
Step #285 Reward:-97.60547637939453 Current Epsilon: 0.33031437747295644
Step #286 Reward:-69.65536377070325 Current Epsilon: 0.3290484407472062
Step #287 Reward:-74.77253151690394 Current Epsilon: 0.3277875072180226
Step #288 Reward:-50.270920925592236 Current Epsilon: 0.32653155711192433
Step #289 Reward:-64.8080690299058 Current Epsilon: 0.32528057073357886
Step #290 Reward:-73.62681115843588 Current Epsilon: 0.3240345284654923
Step #291 Reward:-54.726539090275764 Current Epsilon: 0.3227934107677028
Step #292 Reward:-40.79329227330257 Current Epsilon: 0.3215571981774735
Step #293 Reward:-61.68728248659451 Current Epsilon: 0.3203258713089879
Step #294 Reward:-76.6208662097026 Current Epsilon: 0.3190994108530451
Step #295 Reward:-69.64700546878927 Current Epsilon: 0.3178777975767579
Step #296 Reward:-58.70247521936881 Current Epsilon: 0.31666101232325045
Step #297 Reward:-61.68736095370724 Current Epsilon: 0.31544903601135815
Step #298 Reward:-89.546107981354 Current Epsilon: 0.3142418496353285
